detector, descriptor, matcher, selector, det[ms], num_keypoints, desc[ms], match[ms], num_matchpts,total_avg,pts_sec,match_loss
HARRIS, BRISK, MAT_BF, SEL_KNN,76.8733,180,5.93221,0.704258,83,83.51,994,46.1%
HARRIS, BRISK, MAT_BF, SEL_NN,77.6858,180,5.83177,0.968041,90,84.49,1065,50.0%
HARRIS, BRIEF, MAT_BF, SEL_KNN,78.4427,180,7.18155,0.809005,107,86.43,1238,59.4%
HARRIS, BRIEF, MAT_BF, SEL_NN,78.7623,180,7.0369,1.05365,101,86.85,1163,56.1%
HARRIS, ORB, MAT_BF, SEL_NN,79.6146,180,21.1884,1.27585,94,102.08,921,52.2%
HARRIS, BRIEF, MAT_FLANN, SEL_NN,78.0075,180,6.71901,19.9148,154,104.64,1472,85.6%
HARRIS, ORB, MAT_BF, SEL_KNN,82.4238,180,22.6496,0.795571,98,105.87,926,54.4%
HARRIS, BRISK, MAT_FLANN, SEL_NN,77.496,180,5.7936,25.0564,157,108.35,1449,87.2%
HARRIS, BRIEF, MAT_FLANN, SEL_KNN,80.1704,180,7.01908,21.3348,107,108.52,986,59.4%
HARRIS, BRISK, MAT_FLANN, SEL_KNN,77.8165,180,5.90232,25.8408,84,109.56,767,46.7%
SHITOMASI, ORB, MAT_BF, SEL_KNN,77.7339,1339,32.1486,14.9347,891,124.82,7138,66.5%
HARRIS, ORB, MAT_FLANN, SEL_KNN,80.3332,180,22.414,22.527,98,125.27,782,54.4%
SHITOMASI, BRISK, MAT_BF, SEL_KNN,75.962,1339,36.263,15.2748,717,127.50,5624,53.5%
HARRIS, ORB, MAT_FLANN, SEL_NN,86.2295,180,22.4899,24.1831,152,132.90,1144,84.4%
SHITOMASI, BRIEF, MAT_BF, SEL_KNN,77.1979,1339,44.3382,14.2477,976,135.78,7188,72.9%
SHITOMASI, ORB, MAT_BF, SEL_NN,78.7122,1339,32.828,27.1805,913,138.72,6582,68.2%
SHITOMASI, BRISK, MAT_BF, SEL_NN,76.0711,1339,36.4203,30.1073,826,142.60,5792,61.7%
SHITOMASI, BRIEF, MAT_BF, SEL_NN,77.0629,1339,44.9044,29.0785,977,151.05,6468,73.0%
HARRIS, FREAK, MAT_BF, SEL_KNN,74.5762,180,76.174,0.657558,83,151.41,548,46.1%
HARRIS, FREAK, MAT_BF, SEL_NN,75.7374,180,76.2663,1.51271,86,153.52,560,47.8%
HARRIS, FREAK, MAT_FLANN, SEL_NN,74.6096,180,75.3391,27.696,155,177.64,873,86.1%
HARRIS, FREAK, MAT_FLANN, SEL_KNN,74.7266,180,76.4241,27.9743,83,179.13,463,46.1%
SHITOMASI, FREAK, MAT_BF, SEL_KNN,73.6171,1339,100.939,20.3776,717,194.93,3678,53.5%
ORB, BRISK, MAT_BF, SEL_KNN,128.626,2000,52.2385,20.7843,1228,201.65,6090,61.4%
SHITOMASI, FREAK, MAT_BF, SEL_NN,75.8697,1339,102.219,39.0772,810,217.17,3730,60.5%
ORB, FREAK, MAT_BF, SEL_KNN,130.073,2000,90.1174,6.39304,477,226.58,2105,23.9%
ORB, FREAK, MAT_BF, SEL_NN,130.033,2000,89.6327,10.7991,448,230.46,1944,22.4%
ORB, BRIEF, MAT_BF, SEL_KNN,131.413,2000,68.656,33.7623,912,233.83,3900,45.6%
ORB, BRISK, MAT_BF, SEL_NN,141.363,2000,52.7468,45.2776,1171,239.39,4892,58.6%
BRISK, BRIEF, MAT_BF, SEL_KNN,116.084,2706,88.7405,46.0053,1671,250.83,6662,61.8%
FAST, ORB, MAT_BF, SEL_KNN,40.7212,4904,65.3633,145.352,2736,251.44,10881,55.8%
BRISK, ORB, MAT_BF, SEL_KNN,114.809,2706,99.7926,41.7155,1393,256.32,5435,51.5%
