detector,descriptor,img1-2,img2-3,img3-4,img4-5,img5-6,img6-7,img7-8,img8-9,img9-10
SHITOMASI, BRISK, 752, 731, 708, 697, 703, 685, 715, 753, 715
SHITOMASI, BRIEF, 1003, 981, 992, 987, 931, 947, 973, 1003, 971
SHITOMASI, ORB, 897, 885, 909, 908, 890, 870, 873, 905, 882
SHITOMASI, FREAK, 730, 723, 751, 717, 712, 713, 700, 726, 686
SHITOMASI, AKAZE, 0, 0, 0, 0, 0, 0, 0, 0, 0
SHITOMASI, SIFT, 1044, 1050, 1068, 1045, 1019, 1032, 1033, 1078, 1053
HARRIS, BRISK, 65, 52, 67, 75, 106, 88, 62, 119, 121
HARRIS, BRIEF, 82, 77, 85, 93, 134, 133, 67, 150, 143
HARRIS, ORB, 73, 67, 79, 89, 126, 112, 66, 144, 132
HARRIS, FREAK, 62, 55, 63, 77, 108, 97, 56, 118, 117
HARRIS, AKAZE, 93, 80, 91, 98, 142, 140, 74, 163, 161
HARRIS, SIFT, 90, 77, 90, 95, 141, 120, 72, 154, 160
FAST, BRISK, 2241, 2231, 2194, 2167, 2218, 2156, 2066, 2199, 2182
FAST, BRIEF, 3041, 2994, 3037, 3014, 2941, 2930, 2899, 2992, 2980
FAST, ORB, 2723, 2741, 2777, 2742, 2758, 2688, 2690, 2761, 2744
FAST, FREAK, 2160, 2170, 2140, 2163, 2205, 2141, 2071, 2199, 2153
FAST, AKAZE, 0, 0, 0, 0, 0, 0, 0, 0, 0
FAST, SIFT, 3354, 3256, 3260, 3229, 3208, 3281, 3256, 3281, 3337
BRISK, BRISK, 1494, 1486, 1477, 1400, 1451, 1368, 1400, 1373, 1385
BRISK, BRIEF, 1689, 1739, 1746, 1674, 1666, 1622, 1660, 1646, 1601
BRISK, ORB, 1435, 1440, 1417, 1392, 1417, 1371, 1357, 1364, 1346
BRISK, FREAK, 1333, 1343, 1358, 1297, 1369, 1322, 1296, 1308, 1285
BRISK, AKAZE, 0, 0, 0, 0, 0, 0, 0, 0, 0
BRISK, SIFT, 1677, 1699, 1648, 1625, 1688, 1607, 1645, 1572, 1580
ORB, BRISK, 1209, 1243, 1265, 1222, 1251, 1253, 1239, 1200, 1176
ORB, BRIEF, 967, 923, 872, 907, 903, 907, 935, 880, 919
ORB, ORB, 1273, 1301, 1321, 1298, 1301, 1308, 1280, 1265, 1262
ORB, FREAK, 429, 460, 476, 489, 488, 490, 470, 468, 529
ORB, AKAZE, 0, 0, 0, 0, 0, 0, 0, 0, 0
ORB, SIFT, 1375, 1357, 1404, 1412, 1392, 1365, 1387, 1355, 1392
AKAZE, BRISK, 894, 881, 898, 908, 906, 943, 933, 945, 931
AKAZE, BRIEF, 949, 968, 985, 988, 979, 1005, 1011, 1003, 983
AKAZE, ORB, 868, 899, 872, 862, 878, 913, 905, 902, 875
AKAZE, FREAK, 832, 855, 848, 847, 872, 873, 873, 934, 902
AKAZE, AKAZE, 1011, 1025, 1021, 1027, 1022, 1039, 1026, 1043, 999
AKAZE, SIFT, 1033, 1051, 1025, 1057, 1055, 1067, 1057, 1058, 1046
SIFT, BRISK, 567, 561, 564, 539, 542, 544, 551, 531, 561
SIFT, BRIEF, 702, 653, 666, 639, 648, 652, 671, 619, 673
SIFT, FREAK, 539, 522, 537, 510, 518, 510, 545, 518, 537
SIFT, AKAZE, 0, 0, 0, 0, 0, 0, 0, 0, 0
SIFT, SIFT, 803, 781, 759, 754, 755, 738, 743, 814, 815
