detector, descriptor, matcher, selector, det[ms], num_keypoints, desc[ms], match[ms], num_matchpts, det_err, des_err, mat_err
AKAZE, BRISK, MAT_BF, SEL_NN, 533.915, 1342, 38.2981, 33.0823, 985, 0, 0, 0
AKAZE, BRISK, MAT_BF, SEL_KNN, 522.84, 1342, 37.6834, 15.8988, 915, 0, 0, 0
AKAZE, BRISK, MAT_FLANN, SEL_NN, 525.648, 1342, 37.3679, 802.075, 1344, 0, 0, 0
AKAZE, BRISK, MAT_FLANN, SEL_KNN, 528.714, 1342, 38.0884, 808.693, 915, 0, 0, 0
AKAZE, BRIEF, MAT_BF, SEL_NN, 544.234, 1342, 45.9169, 55.1235, 1002, 0, 0, 0
AKAZE, BRIEF, MAT_BF, SEL_KNN, 543.156, 1342, 45.4834, 20.7666, 985, 0, 0, 0
AKAZE, BRIEF, MAT_FLANN, SEL_NN, 528.989, 1342, 44.4986, 510.564, 1344, 0, 0, 0
AKAZE, BRIEF, MAT_FLANN, SEL_KNN, 534.996, 1342, 45.3245, 506.014, 985, 0, 0, 0
AKAZE, ORB, MAT_BF, SEL_NN, 532.612, 1342, 61.9908, 44.0962, 944, 0, 0, 0
AKAZE, ORB, MAT_BF, SEL_KNN, 542.971, 1342, 63.2824, 23.7657, 886, 0, 0, 0
AKAZE, ORB, MAT_FLANN, SEL_NN, 532.492, 1342, 63.5804, 347.694, 1341, 0, 0, 0
AKAZE, ORB, MAT_FLANN, SEL_KNN, 529.496, 1342, 62.0855, 341.504, 886, 0, 0, 0
AKAZE, FREAK, MAT_BF, SEL_NN, 536.991, 1342, 102.653, 28.9299, 946, 0, 0, 0
AKAZE, FREAK, MAT_BF, SEL_KNN, 530.491, 1342, 102.043, 14.5601, 870, 0, 0, 0
AKAZE, FREAK, MAT_FLANN, SEL_NN, 529.353, 1342, 103.225, 1360.86, 1344, 0, 0, 0
AKAZE, FREAK, MAT_FLANN, SEL_KNN, 528.741, 1342, 101.841, 1362.03, 870, 0, 0, 0
AKAZE, AKAZE, MAT_BF, SEL_NN, 527.694, 1342, 520.532, 34.0865, 1047, 0, 0, 0
AKAZE, AKAZE, MAT_BF, SEL_KNN, 529.105, 1342, 522.471, 17.1824, 1023, 0, 0, 0
AKAZE, AKAZE, MAT_FLANN, SEL_NN, 524.723, 1342, 523.755, 554.567, 1344, 0, 0, 0
AKAZE, AKAZE, MAT_FLANN, SEL_KNN, 525.544, 1342, 520.405, 558.736, 1023, 0, 0, 0
AKAZE, SIFT, MAT_BF, SEL_NN, 528.796, 1342, 597.904, 492.797, 1076, 0, 0, 0
AKAZE, SIFT, MAT_BF, SEL_KNN, 531.536, 1342, 592.745, 263.378, 1049, 0, 0, 0
AKAZE, SIFT, MAT_FLANN, SEL_NN, 533.277, 1342, 591.994, 145.41, 1344, 0, 0, 0
AKAZE, SIFT, MAT_FLANN, SEL_KNN, 534.927, 1342, 596.27, 155.934, 1055, 0, 0, 0
