detector, descriptor, matcher, selector, det[ms], num_keypoints, desc[ms], match[ms], num_matchpts, det_err, des_err, mat_err
AKAZE, BRISK, MAT_BF, SEL_NN, 527.252, 167, 5.05717, 0.991686, 139, 0, 0, 0
AKAZE, BRISK, MAT_BF, SEL_KNN, 528, 167, 4.95489, 0.745414, 135, 0, 0, 0
AKAZE, BRISK, MAT_FLANN, SEL_NN, 529.533, 167, 4.97152, 23.7468, 165, 0, 0, 0
AKAZE, BRISK, MAT_FLANN, SEL_KNN, 546.308, 167, 5.11044, 24.5462, 135, 0, 0, 0
AKAZE, BRIEF, MAT_BF, SEL_NN, 523.575, 167, 5.64569, 0.984752, 139, 0, 0, 0
AKAZE, BRIEF, MAT_BF, SEL_KNN, 523.269, 167, 5.54901, 0.637223, 140, 0, 0, 0
AKAZE, BRIEF, MAT_FLANN, SEL_NN, 531.864, 167, 5.58402, 20.1011, 165, 0, 0, 0
AKAZE, BRIEF, MAT_FLANN, SEL_KNN, 530.77, 167, 5.59772, 21.0614, 140, 0, 0, 0
AKAZE, ORB, MAT_BF, SEL_NN, 544.25, 167, 48.8867, 2.74367, 134, 0, 0, 0
AKAZE, ORB, MAT_BF, SEL_KNN, 545.033, 167, 49.0992, 2.21309, 131, 0, 0, 0
AKAZE, ORB, MAT_FLANN, SEL_NN, 538.16, 167, 49.2562, 16.9827, 165, 0, 0, 0
AKAZE, ORB, MAT_FLANN, SEL_KNN, 544.203, 167, 49.5566, 18.681, 131, 0, 0, 0
AKAZE, FREAK, MAT_BF, SEL_NN, 533.245, 167, 73.9739, 0.738925, 139, 0, 0, 0
AKAZE, FREAK, MAT_BF, SEL_KNN, 539.861, 167, 74.56, 0.495532, 131, 0, 0, 0
AKAZE, FREAK, MAT_FLANN, SEL_NN, 542.52, 167, 74.233, 34.0155, 165, 0, 0, 0
AKAZE, FREAK, MAT_FLANN, SEL_KNN, 541.682, 167, 73.5611, 34.668, 131, 0, 0, 0
AKAZE, AKAZE, MAT_BF, SEL_NN, 542.125, 167, 515.464, 0.938129, 138, 0, 0, 0
AKAZE, AKAZE, MAT_BF, SEL_KNN, 527.514, 167, 506.195, 0.695335, 139, 0, 0, 0
AKAZE, AKAZE, MAT_FLANN, SEL_NN, 532.21, 167, 509.53, 24.0902, 165, 0, 0, 0
AKAZE, AKAZE, MAT_FLANN, SEL_KNN, 533.215, 167, 512.506, 24.1395, 139, 0, 0, 0
AKAZE, SIFT, MAT_BF, SEL_NN, 526.029, 167, 521.793, 7.23669, 141, 0, 0, 0
AKAZE, SIFT, MAT_BF, SEL_KNN, 523.277, 167, 519.373, 3.88262, 141, 0, 0, 0
AKAZE, SIFT, MAT_FLANN, SEL_NN, 524.697, 167, 518.858, 15.1694, 165, 0, 0, 0
AKAZE, SIFT, MAT_FLANN, SEL_KNN, 526.248, 167, 514.923, 16.9386, 142, 0, 0, 0
