detector, descriptor, matcher, selector, det[ms], num_keypoints, desc[ms], match[ms], num_matchpts, det_err, des_err, mat_err
BRISK, BRISK, MAT_BF, SEL_NN, 114.954, 277, 8.39577, 1.82263, 177, 0, 0, 0
BRISK, BRISK, MAT_BF, SEL_KNN, 118.692, 277, 8.52074, 1.22731, 174, 0, 0, 0
BRISK, BRISK, MAT_FLANN, SEL_NN, 115.416, 277, 8.46278, 42.9202, 278, 0, 0, 0
BRISK, BRISK, MAT_FLANN, SEL_KNN, 115.873, 277, 8.28955, 43.891, 174, 0, 0, 0
BRISK, BRIEF, MAT_BF, SEL_NN, 115.935, 277, 8.95136, 1.74056, 172, 0, 0, 0
BRISK, BRIEF, MAT_BF, SEL_KNN, 115.699, 277, 8.88435, 1.02649, 189, 0, 0, 0
BRISK, BRIEF, MAT_FLANN, SEL_NN, 115.688, 277, 9.05227, 41.0349, 278, 0, 0, 0
BRISK, BRIEF, MAT_FLANN, SEL_KNN, 115.806, 277, 8.93069, 42.4468, 189, 0, 0, 0
BRISK, ORB, MAT_BF, SEL_NN, 115.352, 277, 73.4156, 1.3754, 176, 0, 0, 0
BRISK, ORB, MAT_BF, SEL_KNN, 116.598, 277, 73.2759, 0.96544, 167, 0, 0, 0
BRISK, ORB, MAT_FLANN, SEL_NN, 119.369, 277, 74.1418, 34.2147, 278, 0, 0, 0
BRISK, ORB, MAT_FLANN, SEL_KNN, 117.879, 277, 73.7629, 35.7955, 168, 0, 0, 0
BRISK, FREAK, MAT_BF, SEL_NN, 117.814, 277, 77.803, 1.36209, 166, 0, 0, 0
BRISK, FREAK, MAT_BF, SEL_KNN, 118.759, 277, 76.4249, 0.816227, 169, 0, 0, 0
BRISK, FREAK, MAT_FLANN, SEL_NN, 117.66, 277, 75.9233, 45.0303, 258, 0, 0, 0
BRISK, FREAK, MAT_FLANN, SEL_KNN, 115.505, 277, 75.5999, 46.0141, 169, 0, 0, 0
BRISK, AKAZE, MAT_BF, SEL_NN, 115.96, 277, 0, 0, 0, 0, 10, 0
BRISK, AKAZE, MAT_BF, SEL_KNN, 116.572, 277, 0, 0, 0, 0, 10, 0
BRISK, AKAZE, MAT_FLANN, SEL_NN, 118.143, 277, 0, 0, 0, 0, 10, 0
BRISK, AKAZE, MAT_FLANN, SEL_KNN, 114.64, 277, 0, 0, 0, 0, 10, 0
BRISK, SIFT, MAT_BF, SEL_NN, 115.261, 277, 561.565, 21.7653, 170, 0, 0, 0
BRISK, SIFT, MAT_BF, SEL_KNN, 116.492, 277, 557.316, 10.4145, 182, 0, 0, 0
BRISK, SIFT, MAT_FLANN, SEL_NN, 114.434, 277, 558.997, 28.0945, 278, 0, 0, 0
BRISK, SIFT, MAT_FLANN, SEL_KNN, 114.491, 277, 561.728, 29.7821, 183, 0, 0, 0
