detector, descriptor, matcher, selector, det[ms], num_keypoints, desc[ms], match[ms], num_matchpts, det_err, des_err, mat_err
FAST, BRISK, MAT_BF, SEL_NN, 39.8745, 4904, 132.943, 371.72, 2602, 0, 0, 0
FAST, BRISK, MAT_BF, SEL_KNN, 39.7102, 4904, 136.317, 192.891, 2183, 0, 0, 0
FAST, BRISK, MAT_FLANN, SEL_NN, 39.6312, 4904, 136.366, 7080.64, 4672, 0, 0, 0
FAST, BRISK, MAT_FLANN, SEL_KNN, 39.3163, 4904, 134.962, 6987.82, 2184, 0, 0, 0
FAST, BRIEF, MAT_BF, SEL_NN, 39.6728, 4904, 140.143, 267.634, 2910, 0, 0, 0
FAST, BRIEF, MAT_BF, SEL_KNN, 40.3575, 4904, 139.543, 138.62, 2980, 0, 0, 0
FAST, BRIEF, MAT_FLANN, SEL_NN, 39.4713, 4904, 144.233, 3752.26, 4378, 0, 0, 0
FAST, BRIEF, MAT_FLANN, SEL_KNN, 39.3724, 4904, 140.617, 3738.09, 2980, 0, 0, 0
FAST, ORB, MAT_BF, SEL_NN, 39.7561, 4904, 65.1978, 296.687, 2754, 0, 0, 0
FAST, ORB, MAT_BF, SEL_KNN, 40.7212, 4904, 65.3633, 145.352, 2736, 0, 0, 0
FAST, ORB, MAT_FLANN, SEL_NN, 39.5808, 4904, 66.1047, 4585.49, 4320, 0, 0, 0
FAST, ORB, MAT_FLANN, SEL_KNN, 39.2628, 4904, 65.4424, 4574.86, 2736, 0, 0, 0
FAST, FREAK, MAT_BF, SEL_NN, 40.3176, 4904, 188.69, 351.467, 2517, 0, 0, 0
FAST, FREAK, MAT_BF, SEL_KNN, 39.7234, 4904, 190.098, 191.366, 2155, 0, 0, 0
FAST, FREAK, MAT_FLANN, SEL_NN, 39.9213, 4904, 191.7, 8670.51, 4464, 0, 0, 0
FAST, FREAK, MAT_FLANN, SEL_KNN, 39.1044, 4904, 188.219, 8216.46, 2156, 0, 0, 0
FAST, AKAZE, MAT_BF, SEL_NN, 39.6125, 4904, 0, 0, 0, 0, 10, 0
FAST, AKAZE, MAT_BF, SEL_KNN, 39.4009, 4904, 0, 0, 0, 0, 10, 0
FAST, AKAZE, MAT_FLANN, SEL_NN, 40.3998, 4904, 0, 0, 0, 0, 10, 0
FAST, AKAZE, MAT_FLANN, SEL_KNN, 39.7164, 4904, 0, 0, 0, 0, 10, 0
FAST, SIFT, MAT_BF, SEL_NN, 40.0014, 4904, 754.366, 5987.4, 3357, 0, 0, 0
FAST, SIFT, MAT_BF, SEL_KNN, 39.558, 4904, 740.879, 2987.78, 3273, 0, 0, 0
FAST, SIFT, MAT_FLANN, SEL_NN, 39.3191, 4904, 738.249, 563.167, 4911, 0, 0, 0
FAST, SIFT, MAT_FLANN, SEL_KNN, 39.3442, 4904, 739.993, 598.397, 3345, 0, 0, 0
