detector, descriptor, matcher, selector, det[ms], num_keypoints, desc[ms], match[ms], num_matchpts, det_err, des_err, mat_err
FAST, BRISK, MAT_BF, SEL_NN, 39.2443, 408, 11.6633, 3.26002, 266, 0, 0, 0
FAST, BRISK, MAT_BF, SEL_KNN, 39.4563, 408, 11.5526, 1.91437, 242, 0, 0, 0
FAST, BRISK, MAT_FLANN, SEL_NN, 40.4104, 408, 11.6709, 90.6935, 410, 0, 0, 0
FAST, BRISK, MAT_FLANN, SEL_KNN, 39.0696, 408, 11.6735, 87.4706, 242, 0, 0, 0
FAST, BRIEF, MAT_BF, SEL_NN, 40.0594, 408, 14.1262, 3.61919, 288, 0, 0, 0
FAST, BRIEF, MAT_BF, SEL_KNN, 40.0271, 408, 13.4514, 1.62489, 314, 0, 0, 0
FAST, BRIEF, MAT_FLANN, SEL_NN, 40.7138, 408, 13.9475, 71.0731, 410, 0, 0, 0
FAST, BRIEF, MAT_FLANN, SEL_KNN, 40.096, 408, 13.4419, 74.1894, 314, 0, 0, 0
FAST, ORB, MAT_BF, SEL_NN, 40.7385, 408, 24.0921, 3.92035, 287, 0, 0, 0
FAST, ORB, MAT_BF, SEL_KNN, 40.8309, 408, 24.1787, 1.49666, 306, 0, 0, 0
FAST, ORB, MAT_FLANN, SEL_NN, 40.1133, 408, 23.5955, 64.3646, 410, 0, 0, 0
FAST, ORB, MAT_FLANN, SEL_KNN, 40.9525, 408, 23.3918, 68.1295, 306, 0, 0, 0
FAST, FREAK, MAT_BF, SEL_NN, 40.4265, 408, 82.0999, 3.7711, 265, 0, 0, 0
FAST, FREAK, MAT_BF, SEL_KNN, 42.9118, 408, 81.5254, 2.05994, 248, 0, 0, 0
FAST, FREAK, MAT_FLANN, SEL_NN, 39.9627, 408, 80.9208, 109.163, 410, 0, 0, 0
FAST, FREAK, MAT_FLANN, SEL_KNN, 39.9654, 408, 81.9149, 106.756, 248, 0, 0, 0
FAST, AKAZE, MAT_BF, SEL_NN, 39.3131, 408, 0, 0, 0, 0, 10, 0
FAST, AKAZE, MAT_BF, SEL_KNN, 39.1933, 408, 0, 0, 0, 0, 10, 0
FAST, AKAZE, MAT_FLANN, SEL_NN, 39.603, 408, 0, 0, 0, 0, 10, 0
FAST, AKAZE, MAT_FLANN, SEL_KNN, 39.2579, 408, 0, 0, 0, 0, 10, 0
FAST, SIFT, MAT_BF, SEL_NN, 40.0962, 408, 441.769, 47.2359, 293, 0, 0, 0
FAST, SIFT, MAT_BF, SEL_KNN, 40.0528, 408, 442.429, 22.5037, 309, 0, 0, 0
FAST, SIFT, MAT_FLANN, SEL_NN, 40.1676, 408, 439.851, 39.1038, 410, 0, 0, 0
FAST, SIFT, MAT_FLANN, SEL_KNN, 42.0957, 408, 443.772, 44.2725, 310, 0, 0, 0
