detector, descriptor, matcher, selector, det[ms], num_keypoints, desc[ms], match[ms], num_matchpts, det_err, des_err, mat_err
HARRIS, BRISK, MAT_BF, SEL_NN, 77.6858, 180, 5.83177, 0.968041, 90, 0, 0, 0
HARRIS, BRISK, MAT_BF, SEL_KNN, 76.8733, 180, 5.93221, 0.704258, 83, 0, 0, 0
HARRIS, BRISK, MAT_FLANN, SEL_NN, 77.496, 180, 5.7936, 25.0564, 157, 0, 0, 0
HARRIS, BRISK, MAT_FLANN, SEL_KNN, 77.8165, 180, 5.90232, 25.8408, 84, 0, 0, 0
HARRIS, BRIEF, MAT_BF, SEL_NN, 78.7623, 180, 7.0369, 1.05365, 101, 0, 0, 0
HARRIS, BRIEF, MAT_BF, SEL_KNN, 78.4427, 180, 7.18155, 0.809005, 107, 0, 0, 0
HARRIS, BRIEF, MAT_FLANN, SEL_NN, 78.0075, 180, 6.71901, 19.9148, 154, 0, 0, 0
HARRIS, BRIEF, MAT_FLANN, SEL_KNN, 80.1704, 180, 7.01908, 21.3348, 107, 0, 0, 0
HARRIS, ORB, MAT_BF, SEL_NN, 79.6146, 180, 21.1884, 1.27585, 94, 0, 0, 0
HARRIS, ORB, MAT_BF, SEL_KNN, 82.4238, 180, 22.6496, 0.795571, 98, 0, 0, 0
HARRIS, ORB, MAT_FLANN, SEL_NN, 86.2295, 180, 22.4899, 24.1831, 152, 0, 0, 0
HARRIS, ORB, MAT_FLANN, SEL_KNN, 80.3332, 180, 22.414, 22.527, 98, 0, 0, 0
HARRIS, FREAK, MAT_BF, SEL_NN, 75.7374, 180, 76.2663, 1.51271, 86, 0, 0, 0
HARRIS, FREAK, MAT_BF, SEL_KNN, 74.5762, 180, 76.174, 0.657558, 83, 0, 0, 0
HARRIS, FREAK, MAT_FLANN, SEL_NN, 74.6096, 180, 75.3391, 27.696, 155, 0, 0, 0
HARRIS, FREAK, MAT_FLANN, SEL_KNN, 74.7266, 180, 76.4241, 27.9743, 83, 0, 0, 0
HARRIS, AKAZE, MAT_BF, SEL_NN, 77.4923, 180, 508.893, 0.940852, 109, 0, 0, 0
HARRIS, AKAZE, MAT_BF, SEL_KNN, 75.4243, 180, 505.428, 0.5748, 115, 0, 0, 0
HARRIS, AKAZE, MAT_FLANN, SEL_NN, 77.0869, 180, 519.932, 19.9439, 161, 0, 0, 0
HARRIS, AKAZE, MAT_FLANN, SEL_KNN, 79.524, 180, 517.872, 20.5523, 116, 0, 0, 0
HARRIS, SIFT, MAT_BF, SEL_NN, 76.0981, 180, 417.222, 8.0705, 108, 0, 0, 0
HARRIS, SIFT, MAT_BF, SEL_KNN, 73.851, 180, 419.073, 3.89345, 111, 0, 0, 0
HARRIS, SIFT, MAT_FLANN, SEL_NN, 74.5758, 180, 418.426, 17.3812, 161, 0, 0, 0
HARRIS, SIFT, MAT_FLANN, SEL_KNN, 74.3209, 180, 419.711, 18.0985, 111, 0, 0, 0
