detector, descriptor, matcher, selector, det[ms], num_keypoints, desc[ms], match[ms], num_matchpts, det_err, des_err, mat_err
HARRIS, BRISK, MAT_BF, SEL_NN, 79.3286, 25, 1.94901, 0.499843, 16, 0, 0, 0
HARRIS, BRISK, MAT_BF, SEL_KNN, 78.715, 25, 1.79766, 0.472198, 15, 0, 0, 0
HARRIS, BRISK, MAT_FLANN, SEL_NN, 78.0317, 25, 1.84699, 3.13098, 23, 0, 0, 0
HARRIS, BRISK, MAT_FLANN, SEL_KNN, 77.9982, 25, 1.84319, 3.03727, 15, 0, 0, 0
HARRIS, BRIEF, MAT_BF, SEL_NN, 80.7866, 25, 1.93732, 0.262528, 17, 0, 0, 0
HARRIS, BRIEF, MAT_BF, SEL_KNN, 80.129, 25, 1.90114, 0.330118, 19, 0, 0, 0
HARRIS, BRIEF, MAT_FLANN, SEL_NN, 79.3755, 25, 2.08962, 3.02598, 23, 0, 0, 0
HARRIS, BRIEF, MAT_FLANN, SEL_KNN, 80.0229, 25, 2.3813, 2.83227, 19, 0, 0, 0
HARRIS, ORB, MAT_BF, SEL_NN, 80.5977, 25, 19.6603, 0.542777, 17, 0, 0, 0
HARRIS, ORB, MAT_BF, SEL_KNN, 82.1692, 25, 19.4716, 0.38313, 17, 0, 0, 0
HARRIS, ORB, MAT_FLANN, SEL_NN, 78.6163, 25, 20.2494, 2.70936, 23, 0, 0, 0
HARRIS, ORB, MAT_FLANN, SEL_KNN, 79.1485, 25, 20.4457, 2.73938, 17, 0, 0, 0
HARRIS, FREAK, MAT_BF, SEL_NN, 75.6689, 25, 72.893, 0.760226, 16, 0, 0, 0
HARRIS, FREAK, MAT_BF, SEL_KNN, 75.443, 25, 73.5101, 0.251049, 16, 0, 0, 0
HARRIS, FREAK, MAT_FLANN, SEL_NN, 76.6343, 25, 72.8185, 3.03982, 23, 0, 0, 0
HARRIS, FREAK, MAT_FLANN, SEL_KNN, 75.1612, 25, 71.7427, 3.33398, 16, 0, 0, 0
HARRIS, AKAZE, MAT_BF, SEL_NN, 78.3722, 25, 526.369, 0.355329, 17, 0, 0, 0
HARRIS, AKAZE, MAT_BF, SEL_KNN, 77.4032, 25, 517.267, 0.378863, 19, 0, 0, 0
HARRIS, AKAZE, MAT_FLANN, SEL_NN, 78.7772, 25, 520.125, 2.96737, 23, 0, 0, 0
HARRIS, AKAZE, MAT_FLANN, SEL_KNN, 79.1017, 25, 528.75, 2.99033, 19, 0, 0, 0
HARRIS, SIFT, MAT_BF, SEL_NN, 76.1689, 25, 445.394, 0.339729, 17, 0, 0, 0
HARRIS, SIFT, MAT_BF, SEL_KNN, 77.4666, 25, 441.59, 0.236849, 18, 0, 0, 0
HARRIS, SIFT, MAT_FLANN, SEL_NN, 74.4453, 25, 434.093, 1.94092, 23, 0, 0, 0
HARRIS, SIFT, MAT_FLANN, SEL_KNN, 73.3184, 25, 431.985, 2.25361, 18, 0, 0, 0
