detector, descriptor, matcher, selector, det[ms], num_keypoints, desc[ms], match[ms], num_matchpts, det_err, des_err, mat_err
ORB, BRISK, MAT_BF, SEL_NN, 141.363, 2000, 52.7468, 45.2776, 1171, 0, 0, 0
ORB, BRISK, MAT_BF, SEL_KNN, 128.626, 2000, 52.2385, 20.7843, 1228, 0, 0, 0
ORB, BRISK, MAT_FLANN, SEL_NN, 128.987, 2000, 53.0369, 690.701, 1581, 0, 0, 0
ORB, BRISK, MAT_FLANN, SEL_KNN, 126.959, 2000, 53.0792, 666.55, 1228, 0, 0, 0
ORB, BRIEF, MAT_BF, SEL_NN, 134.099, 2000, 68.9626, 70.9353, 956, 0, 0, 0
ORB, BRIEF, MAT_BF, SEL_KNN, 131.413, 2000, 68.656, 33.7623, 912, 0, 0, 0
ORB, BRIEF, MAT_FLANN, SEL_NN, 126.267, 2000, 65.523, 1004.1, 2000, 0, 0, 0
ORB, BRIEF, MAT_FLANN, SEL_KNN, 125.74, 2000, 67.1069, 1005.37, 912, 0, 0, 0
ORB, ORB, MAT_BF, SEL_NN, 129.075, 2000, 104.469, 71.9234, 1369, 0, 0, 0
ORB, ORB, MAT_BF, SEL_KNN, 128.387, 2000, 103.876, 44.9519, 1289, 0, 0, 0
ORB, ORB, MAT_FLANN, SEL_NN, 127.427, 2000, 102.068, 619.415, 2000, 0, 0, 0
ORB, ORB, MAT_FLANN, SEL_KNN, 126.539, 2000, 102.571, 624.056, 1290, 0, 0, 0
ORB, FREAK, MAT_BF, SEL_NN, 130.033, 2000, 89.6327, 10.7991, 448, 0, 0, 0
ORB, FREAK, MAT_BF, SEL_KNN, 130.073, 2000, 90.1174, 6.39304, 477, 0, 0, 0
ORB, FREAK, MAT_FLANN, SEL_NN, 128.912, 2000, 90.2631, 160.122, 628, 0, 0, 0
ORB, FREAK, MAT_FLANN, SEL_KNN, 130.017, 2000, 89.1457, 161.753, 477, 0, 0, 0
ORB, AKAZE, MAT_BF, SEL_NN, 125.793, 2000, 0, 0, 0, 0, 10, 0
ORB, AKAZE, MAT_BF, SEL_KNN, 126.496, 2000, 0, 0, 0, 0, 10, 0
ORB, AKAZE, MAT_FLANN, SEL_NN, 127.605, 2000, 0, 0, 0, 0, 10, 0
ORB, AKAZE, MAT_FLANN, SEL_KNN, 125.973, 2000, 0, 0, 0, 0, 10, 0
ORB, SIFT, MAT_BF, SEL_NN, 125.942, 2000, 1306.31, 1033.69, 1268, 0, 0, 0
ORB, SIFT, MAT_BF, SEL_KNN, 126.403, 2000, 1318.2, 544.871, 1382, 0, 0, 0
ORB, SIFT, MAT_FLANN, SEL_NN, 129.276, 2000, 1330.84, 222.498, 2000, 0, 0, 0
ORB, SIFT, MAT_FLANN, SEL_KNN, 127.677, 2000, 1307.5, 232.566, 1394, 0, 0, 0
