detector, descriptor, matcher, selector, det[ms], num_keypoints, desc[ms], match[ms], num_matchpts, det_err, des_err, mat_err
ORB, BRISK, MAT_BF, SEL_NN, 125.27, 328, 9.29144, 2.0693, 219, 0, 0, 0
ORB, BRISK, MAT_BF, SEL_KNN, 124.11, 328, 9.25613, 1.26779, 226, 0, 0, 0
ORB, BRISK, MAT_FLANN, SEL_NN, 126.12, 328, 9.28389, 45.5345, 303, 0, 0, 0
ORB, BRISK, MAT_FLANN, SEL_KNN, 127.659, 328, 9.19348, 45.3177, 226, 0, 0, 0
ORB, BRIEF, MAT_BF, SEL_NN, 126.431, 328, 10.9926, 2.83328, 173, 0, 0, 0
ORB, BRIEF, MAT_BF, SEL_KNN, 125.148, 328, 10.312, 1.37422, 156, 0, 0, 0
ORB, BRIEF, MAT_FLANN, SEL_NN, 128.419, 328, 10.4851, 52.7389, 325, 0, 0, 0
ORB, BRIEF, MAT_FLANN, SEL_KNN, 131.3, 328, 10.4754, 53.2476, 156, 0, 0, 0
ORB, ORB, MAT_BF, SEL_NN, 133.171, 328, 82.4468, 3.82668, 229, 0, 0, 0
ORB, ORB, MAT_BF, SEL_KNN, 129.485, 328, 82.8556, 1.38494, 224, 0, 0, 0
ORB, ORB, MAT_FLANN, SEL_NN, 126.991, 328, 81.4156, 43.5658, 325, 0, 0, 0
ORB, ORB, MAT_FLANN, SEL_KNN, 126.479, 328, 82.1849, 43.4822, 224, 0, 0, 0
ORB, FREAK, MAT_BF, SEL_NN, 128.509, 328, 74.3305, 1.67255, 124, 0, 0, 0
ORB, FREAK, MAT_BF, SEL_KNN, 127.895, 328, 74.3626, 0.834227, 128, 0, 0, 0
ORB, FREAK, MAT_FLANN, SEL_NN, 129.188, 328, 74.6868, 25.9472, 176, 0, 0, 0
ORB, FREAK, MAT_FLANN, SEL_KNN, 128.279, 328, 74.7428, 26.1209, 128, 0, 0, 0
ORB, AKAZE, MAT_BF, SEL_NN, 124.575, 328, 0, 0, 0, 0, 10, 0
ORB, AKAZE, MAT_BF, SEL_KNN, 123.32, 328, 0, 0, 0, 0, 10, 0
ORB, AKAZE, MAT_FLANN, SEL_NN, 123.01, 328, 0, 0, 0, 0, 10, 0
ORB, AKAZE, MAT_FLANN, SEL_KNN, 123.46, 328, 0, 0, 0, 0, 10, 0
ORB, SIFT, MAT_BF, SEL_NN, 132.215, 328, 637.543, 29.0974, 204, 0, 0, 0
ORB, SIFT, MAT_BF, SEL_KNN, 123.77, 328, 635.18, 14.3719, 230, 0, 0, 0
ORB, SIFT, MAT_FLANN, SEL_NN, 126.134, 328, 634.528, 30.8918, 325, 0, 0, 0
ORB, SIFT, MAT_FLANN, SEL_KNN, 124.589, 328, 636.159, 33.563, 230, 0, 0, 0
