detector, descriptor, matcher, selector, det[ms], num_keypoints, desc[ms], match[ms], num_matchpts, det_err, des_err, mat_err
SHITOMASI, BRISK, MAT_BF, SEL_NN, 76.0711, 1339, 36.4203, 30.1073, 826, 0, 0, 0
SHITOMASI, BRISK, MAT_BF, SEL_KNN, 75.962, 1339, 36.263, 15.2748, 717, 0, 0, 0
SHITOMASI, BRISK, MAT_FLANN, SEL_NN, 77.1337, 1339, 36.4849, 693.459, 1290, 0, 0, 0
SHITOMASI, BRISK, MAT_FLANN, SEL_KNN, 75.8815, 1339, 36.481, 682.363, 718, 0, 0, 0
SHITOMASI, BRIEF, MAT_BF, SEL_NN, 77.0629, 1339, 44.9044, 29.0785, 977, 0, 0, 0
SHITOMASI, BRIEF, MAT_BF, SEL_KNN, 77.1979, 1339, 44.3382, 14.2477, 976, 0, 0, 0
SHITOMASI, BRIEF, MAT_FLANN, SEL_NN, 75.6779, 1339, 43.7592, 413.9, 1231, 0, 0, 0
SHITOMASI, BRIEF, MAT_FLANN, SEL_KNN, 75.6099, 1339, 43.9996, 418.437, 976, 0, 0, 0
SHITOMASI, ORB, MAT_BF, SEL_NN, 78.7122, 1339, 32.828, 27.1805, 913, 0, 0, 0
SHITOMASI, ORB, MAT_BF, SEL_KNN, 77.7339, 1339, 32.1486, 14.9347, 891, 0, 0, 0
SHITOMASI, ORB, MAT_FLANN, SEL_NN, 75.7295, 1339, 32.3055, 494.924, 1219, 0, 0, 0
SHITOMASI, ORB, MAT_FLANN, SEL_KNN, 75.7156, 1339, 31.8506, 494.214, 891, 0, 0, 0
SHITOMASI, FREAK, MAT_BF, SEL_NN, 75.8697, 1339, 102.219, 39.0772, 810, 0, 0, 0
SHITOMASI, FREAK, MAT_BF, SEL_KNN, 73.6171, 1339, 100.939, 20.3776, 717, 0, 0, 0
SHITOMASI, FREAK, MAT_FLANN, SEL_NN, 71.1222, 1339, 99.5704, 806.537, 1247, 0, 0, 0
SHITOMASI, FREAK, MAT_FLANN, SEL_KNN, 71.1551, 1339, 100.712, 772.042, 717, 0, 0, 0
SHITOMASI, AKAZE, MAT_BF, SEL_NN, 75.7526, 1339, 0, 0, 0, 0, 10, 0
SHITOMASI, AKAZE, MAT_BF, SEL_KNN, 74.1689, 1339, 0, 0, 0, 0, 10, 0
SHITOMASI, AKAZE, MAT_FLANN, SEL_NN, 73.6372, 1339, 0, 0, 0, 0, 10, 0
SHITOMASI, AKAZE, MAT_FLANN, SEL_KNN, 74.2064, 1339, 0, 0, 0, 0, 10, 0
SHITOMASI, SIFT, MAT_BF, SEL_NN, 73.1721, 1339, 433.121, 484.841, 1079, 0, 0, 0
SHITOMASI, SIFT, MAT_BF, SEL_KNN, 71.7202, 1339, 434.113, 258.183, 1046, 0, 0, 0
SHITOMASI, SIFT, MAT_FLANN, SEL_NN, 72.0445, 1339, 433.803, 142.569, 1342, 0, 0, 0
SHITOMASI, SIFT, MAT_FLANN, SEL_KNN, 72.5531, 1339, 433.798, 153.077, 1049, 0, 0, 0
