detector, descriptor, matcher, selector, det[ms], num_keypoints, desc[ms], match[ms], num_matchpts, det_err, des_err, mat_err
SHITOMASI, BRISK, MAT_BF, SEL_NN, 75.85, 117, 4.26917, 0.749982, 91, 0, 0, 0
SHITOMASI, BRISK, MAT_BF, SEL_KNN, 75.3153, 117, 4.27404, 0.583478, 85, 0, 0, 0
SHITOMASI, BRISK, MAT_FLANN, SEL_NN, 78.2022, 117, 4.41381, 15.8621, 118, 0, 0, 0
SHITOMASI, BRISK, MAT_FLANN, SEL_KNN, 79.3398, 117, 4.29592, 15.6481, 85, 0, 0, 0
SHITOMASI, BRIEF, MAT_BF, SEL_NN, 77.5314, 117, 5.23246, 1.1781, 100, 0, 0, 0
SHITOMASI, BRIEF, MAT_BF, SEL_KNN, 78.2248, 117, 4.777, 0.858672, 104, 0, 0, 0
SHITOMASI, BRIEF, MAT_FLANN, SEL_NN, 80.0564, 117, 5.09491, 14.1505, 118, 0, 0, 0
SHITOMASI, BRIEF, MAT_FLANN, SEL_KNN, 78.4652, 117, 4.91666, 14.694, 105, 0, 0, 0
SHITOMASI, ORB, MAT_BF, SEL_NN, 79.0716, 117, 21.0781, 0.809138, 100, 0, 0, 0
SHITOMASI, ORB, MAT_BF, SEL_KNN, 78.0269, 117, 20.6642, 0.384074, 100, 0, 0, 0
SHITOMASI, ORB, MAT_FLANN, SEL_NN, 80.2713, 117, 20.7953, 13.4131, 118, 0, 0, 0
SHITOMASI, ORB, MAT_FLANN, SEL_KNN, 78.7975, 117, 21.0063, 13.9247, 100, 0, 0, 0
SHITOMASI, FREAK, MAT_BF, SEL_NN, 74.8906, 117, 74.4618, 0.631079, 91, 0, 0, 0
SHITOMASI, FREAK, MAT_BF, SEL_KNN, 75.7967, 117, 74.1977, 0.410219, 85, 0, 0, 0
SHITOMASI, FREAK, MAT_FLANN, SEL_NN, 74.2871, 117, 75.1833, 17.8307, 118, 0, 0, 0
SHITOMASI, FREAK, MAT_FLANN, SEL_KNN, 74.6203, 117, 76.3418, 18.8759, 85, 0, 0, 0
SHITOMASI, AKAZE, MAT_BF, SEL_NN, 77.4168, 117, 0, 0, 0, 0, 10, 0
SHITOMASI, AKAZE, MAT_BF, SEL_KNN, 75.3667, 117, 0, 0, 0, 0, 10, 0
SHITOMASI, AKAZE, MAT_FLANN, SEL_NN, 76.3397, 117, 0, 0, 0, 0, 10, 0
SHITOMASI, AKAZE, MAT_FLANN, SEL_KNN, 74.7173, 117, 0, 0, 0, 0, 10, 0
SHITOMASI, SIFT, MAT_BF, SEL_NN, 72.6446, 117, 418.463, 3.84224, 101, 0, 0, 0
SHITOMASI, SIFT, MAT_BF, SEL_KNN, 72.4568, 117, 415.626, 1.92022, 103, 0, 0, 0
SHITOMASI, SIFT, MAT_FLANN, SEL_NN, 72.7394, 117, 419.203, 10.2981, 118, 0, 0, 0
SHITOMASI, SIFT, MAT_FLANN, SEL_KNN, 72.4665, 117, 415.272, 11.7149, 103, 0, 0, 0
