detector, descriptor, matcher, selector, det[ms], num_keypoints, desc[ms], match[ms], num_matchpts, det_err, des_err, mat_err
SIFT, BRISK, MAT_BF, SEL_NN, 2091.58, 1380, 37.2984, 33.1752, 671, 0, 0, 0
SIFT, BRISK, MAT_BF, SEL_KNN, 2050.96, 1380, 36.7253, 16.4052, 551, 0, 0, 0
SIFT, BRISK, MAT_FLANN, SEL_NN, 2045.14, 1380, 36.8024, 644.996, 1320, 0, 0, 0
SIFT, BRISK, MAT_FLANN, SEL_KNN, 2052.07, 1380, 36.7373, 653.538, 551, 0, 0, 0
SIFT, BRIEF, MAT_BF, SEL_NN, 2058.73, 1380, 40.2136, 43.9449, 714, 0, 0, 0
SIFT, BRIEF, MAT_BF, SEL_KNN, 2081.95, 1380, 39.2859, 13.4605, 658, 0, 0, 0
SIFT, BRIEF, MAT_FLANN, SEL_NN, 2076.63, 1380, 39.8708, 394.44, 1260, 0, 0, 0
SIFT, BRIEF, MAT_FLANN, SEL_KNN, 2085.28, 1380, 40.1983, 404.6, 658, 0, 0, 0
SIFT, FREAK, MAT_BF, SEL_NN, 2089.89, 1380, 101.826, 25.276, 639, 0, 0, 0
SIFT, FREAK, MAT_BF, SEL_KNN, 2091.75, 1380, 102.486, 13.4367, 526, 0, 0, 0
SIFT, FREAK, MAT_FLANN, SEL_NN, 2093.36, 1380, 103.193, 852.499, 1256, 0, 0, 0
SIFT, FREAK, MAT_FLANN, SEL_KNN, 2090.63, 1380, 102.574, 874.673, 526, 0, 0, 0
SIFT, AKAZE, MAT_BF, SEL_NN, 2087.73, 1380, 0, 0, 0, 0, 10, 0
SIFT, AKAZE, MAT_BF, SEL_KNN, 2075.96, 1380, 0, 0, 0, 0, 10, 0
SIFT, AKAZE, MAT_FLANN, SEL_NN, 2048.03, 1380, 0, 0, 0, 0, 10, 0
SIFT, AKAZE, MAT_FLANN, SEL_KNN, 2045.42, 1380, 0, 0, 0, 0, 10, 0
SIFT, SIFT, MAT_BF, SEL_NN, 2051.54, 1380, 2086.49, 515.555, 834, 0, 0, 0
SIFT, SIFT, MAT_BF, SEL_KNN, 2057.86, 1380, 2065.49, 271.451, 773, 0, 0, 0
SIFT, SIFT, MAT_FLANN, SEL_NN, 2046.61, 1380, 2065.3, 152.507, 1381, 0, 0, 0
SIFT, SIFT, MAT_FLANN, SEL_KNN, 2046.88, 1380, 2065.34, 159.268, 782, 0, 0, 0
