detector, descriptor, matcher, selector, det[ms], num_keypoints, desc[ms], match[ms], num_matchpts, det_err, des_err, mat_err
SIFT, BRISK, MAT_BF, SEL_NN, 2052.45, 138, 4.23939, 0.80215, 78, 0, 0, 0
SIFT, BRISK, MAT_BF, SEL_KNN, 2060.08, 138, 4.21642, 0.648447, 65, 0, 0, 0
SIFT, BRISK, MAT_FLANN, SEL_NN, 2067.43, 138, 4.20017, 17.3869, 138, 0, 0, 0
SIFT, BRISK, MAT_FLANN, SEL_KNN, 2055.05, 138, 4.23689, 17.9649, 65, 0, 0, 0
SIFT, BRIEF, MAT_BF, SEL_NN, 2048.78, 138, 4.55529, 0.66908, 83, 0, 0, 0
SIFT, BRIEF, MAT_BF, SEL_KNN, 2048.62, 138, 4.56191, 0.562989, 78, 0, 0, 0
SIFT, BRIEF, MAT_FLANN, SEL_NN, 2058.26, 138, 4.60519, 15.6706, 138, 0, 0, 0
SIFT, BRIEF, MAT_FLANN, SEL_KNN, 2071.4, 138, 4.56391, 16.195, 78, 0, 0, 0
SIFT, FREAK, MAT_BF, SEL_NN, 2055.95, 138, 72.1869, 0.580045, 75, 0, 0, 0
SIFT, FREAK, MAT_BF, SEL_KNN, 2053.15, 138, 71.8769, 0.397641, 65, 0, 0, 0
SIFT, FREAK, MAT_FLANN, SEL_NN, 2069.91, 138, 72.9892, 21.3903, 137, 0, 0, 0
SIFT, FREAK, MAT_FLANN, SEL_KNN, 2087.42, 138, 75.5667, 23.483, 65, 0, 0, 0
SIFT, AKAZE, MAT_BF, SEL_NN, 2064.85, 138, 0, 0, 0, 0, 10, 0
SIFT, AKAZE, MAT_BF, SEL_KNN, 2082.32, 138, 0, 0, 0, 0, 10, 0
SIFT, AKAZE, MAT_FLANN, SEL_NN, 2069.6, 138, 0, 0, 0, 0, 10, 0
SIFT, AKAZE, MAT_FLANN, SEL_KNN, 2066.66, 138, 0, 0, 0, 0, 10, 0
SIFT, SIFT, MAT_BF, SEL_NN, 2057.59, 138, 2027.68, 5.0325, 92, 0, 0, 0
SIFT, SIFT, MAT_BF, SEL_KNN, 2082.66, 138, 2054.33, 2.73811, 88, 0, 0, 0
SIFT, SIFT, MAT_FLANN, SEL_NN, 2093.9, 138, 2054.14, 12.8583, 138, 0, 0, 0
SIFT, SIFT, MAT_FLANN, SEL_KNN, 2089.8, 138, 2054.78, 13.9863, 89, 0, 0, 0
